Subject,Dataset,True Answer,RAG Fake (Conflict),Model Confidence (Prob)
Chakrapani,counterfact, India, Poland,0.4609
When,sciq,virtual,fake,0.2464
Acid,sciq,acid rain,carbon rain,0.385
Serbia,popqa,Belgrade,Victoria,0.1919
Massachusetts,synthetic,Boston,Montpelier,0.2297
Illertissen,counterfact, Germany, India,0.4377
Electrons,sciq,valence electrons,core electrons,0.3967
40.2,sciq,blood,heart,0.4838
 Bosnia and Herzegovina,counterfact, Croatian, English,0.4828
An,sciq,autoimmune,contagious,0.4921
Kireyevsky District,popqa,Russia,Croatia,0.2663
Science Fact,sciq,asexual reproduction,sexual dimorphism,0.2509
Khvajeh Soheyl,popqa,Iran,Dominican Republic,0.3611
Elements,sciq,substance,element,0.318
Genetics,sciq,genetics,zoology,0.3344
DNA,sciq,proteins,lipids,0.4227
Bhutan,synthetic,Thimphu,Moroni,0.3004
Chess with Friends,popqa,chess,fiction,0.3653
Proteins,sciq,proteins,lipids,0.3239
Strong,sciq,strong,unusual,0.4269
The Lottery,popqa,Shirley Jackson,Martin Heidegger,0.2273
Using,sciq,carbon dioxide,oxygen,0.4719
Every,sciq,energy,neutrons,0.2509
Vertebrates,sciq,immune system,digestion system,0.3964
Decomposition,sciq,carbon,nitrogen,0.4373
Damiano Tommasi,counterfact, midfielder, linebacker,0.3242
Biotic,sciq,biotic factors,abiotic factors,0.3194
Secondary,sciq,secondary pollutants,cross pollutants,0.4279
The,sciq,amylase,synthase,0.2986
Communication,sciq,information,water,0.4091
Biology,sciq,homeostasis,stabilizer,0.1763
In,sciq,fusion,heat,0.4678
Fission,sciq,fission,diffusion,0.2509
Cellulose,sciq,cellulose,vascular cambrium,0.4434
Iceland,synthetic,Reykjavik,Tehran,0.3034
Structures,sciq,covalent,prevalent,0.4733
Air,sciq,temperature gradient,oxygen gradient,0.4932
Carbon,sciq,carbon taxes,pollution tax,0.4276
Jellyfish,sciq,jellyfish,fish,0.254
Giant,sciq,hydrothermal,Heated,0.274
Photosynthesis,sciq,photosynthesis,hydration,0.4379
Each,sciq,a gene,a protein,0.3477
Community,sciq,succession,supression,0.3812
"Crocodilia,",sciq,dinosaurs,mammals,0.4113
Yasmani Grandal,counterfact, catcher, midfielder,0.4075
An,sciq,ionic bond,electron bond,0.4278
Science Fact,sciq,vertebrates,mammals,0.2509
The Witches,synthetic,Roald Dahl,Jonathan Swift,0.2509
Science Fact,sciq,mouth,nostril,0.2509
Science Fact,sciq,magnetic field,gravitational field,0.4611
Iran,synthetic,Tehran,Kathmandu,0.1741
Messenger,sciq,messenger rna,concept rna,0.3365
Type,sciq,type 2,gestational diabetes,0.2509
Figure,sciq,centripetal force,centripetal torque,0.3498
Geometry,synthetic,Euclid,Thomas Edison,0.4162
