Subject,Dataset,True Answer,RAG Fake (Conflict),Model Confidence (Prob)
Iron,synthetic,Fe,Ar,0.4649
Valdemar III of Denmark,popqa,Denmark,Frascati,0.4792
 Herzeleid,counterfact, German, Greek,0.4032
The,sciq,sun,Moon,0.1549
 De finibus bonorum et malorum,counterfact, Latin, Italian,0.2765
An,sciq,ecosystem,community,0.3936
Hajime Mizoguchi,counterfact, Tokyo, London,0.4746
 Adam Sandler,counterfact, English, French,0.4563
Acid,sciq,acid rain,carbon rain,0.2332
Eukaryotic,sciq,organelle,mitochondria,0.2187
CERN,counterfact, Geneva, Atlanta,0.4822
The,sciq,golgi apparatus,plasma apparatus,0.4324
Saint Lea,popqa,Catholic Church,Shia Islam,0.4526
Netherlands,synthetic,Amsterdam,Vienna,0.4681
Protists,sciq,cellulose,carbonate,0.4473
 Parattai Engira Azhagu Sundaram,counterfact, Tamil, Polish,0.2534
Americium,synthetic,Am,Po,0.4344
Quantum mechanics,synthetic,Max Planck,Adolf Gaston Eugen Fick,0.4106
Indiana Jones,popqa,Henry Jones,Arthur Merric Boyd,0.2605
Plateau Station,counterfact, Antarctica, Asia,0.2755
Water,sciq,water,air,0.1184
Californium,synthetic,Cf,Ho,0.4169
Duygu Asena,counterfact, Turkish, English,0.2928
20.8,sciq,metabolism,heart rate,0.4799
 L'Instant X,counterfact, French, Spanish,0.4818
Event Viewer,counterfact, Microsoft, IBM,0.4277
Khvajeh Soheyl,popqa,Iran,Armenia,0.3735
 Michel Poniatowski,counterfact, French, Spanish,0.3664
Jean Drapeau,counterfact, Montreal, Rome,0.4474
Polish Socialist Party,counterfact, Warsaw, Waterloo,0.4891
Michel Sardou,counterfact, French, Spanish,0.498
 Vishwa Thulasi,counterfact, Tamil, Dutch,0.277
Bank Negara Indonesia,counterfact, Indonesia, California,0.4114
Both,sciq,valence electrons,shell electrons,0.3726
The Lottery,popqa,Shirley Jackson,Sally Mann,0.1165
Arkansas,synthetic,Little Rock,Jackson,0.2122
Jean Lhermitte,counterfact, French, English,0.4702
Ferns,sciq,ferns,trees,0.3119
 La Commune,counterfact, French, English,0.4856
Sugandha Garg,counterfact, India, Hungary,0.4655
Decomposition,sciq,carbon,nitrogen,0.3814
Damiano Tommasi,counterfact, midfielder, linebacker,0.4874
Secondary,sciq,secondary pollutants,cross pollutants,0.4494
Each,sciq,myosin,dynein,0.22
 Politiken,counterfact, Copenhagen, Atlanta,0.456
Genital,sciq,genital herpes,syphilis,0.1375
Biology,sciq,homeostasis,stabilizer,0.1913
Segundo romance,counterfact, Spanish, Russian,0.4961
In,sciq,fusion,heat,0.3243
Lipke Holthuis,counterfact, Dutch, French,0.3344
North Carolina,synthetic,Raleigh,Augusta,0.4969
 Les diamants de la couronne,counterfact, French, Italian,0.4895
Iowa,synthetic,Des Moines,Baton Rouge,0.4831
Romania,synthetic,Bucharest,Conakry,0.481
 Theo van Doesburg,counterfact, Dutch, French,0.2542
The Secret Garden,synthetic,Frances Hodgson Burnett,Sylvia Plath,0.2983
Commensalism,sciq,commensalism,parasitism,0.2486
Carbon,sciq,carbon taxes,pollution tax,0.2246
 Albert Sarraut,counterfact, French, Russian,0.4013
Agoston Haraszthy,counterfact, Hungarian, French,0.3708
"St. Albert's Church, Riga",popqa,Catholic Church,Christadelphians,0.4229
Oxygen,synthetic,O,Rh,0.3945
In Search of Lost Time,synthetic,Marcel Proust,John Steinbeck,0.2668
Most,sciq,dark matter,mystery matter,0.301
Since,sciq,wind,temperature,0.1797
Science Fact,sciq,magnetic field,gravitational field,0.4533
Lutetium,synthetic,Lu,Mn,0.4869
Iran,synthetic,Tehran,Kathmandu,0.4605
Francis Poulenc,counterfact, French, Danish,0.295
Lithium,synthetic,Li,Ca,0.3499
Type,sciq,type 2,gestational diabetes,0.475
Science Fact,sciq,oxidative fibers,hydrogen fibers,0.4746
Figure,sciq,centripetal force,centripetal torque,0.2596
Geometry,synthetic,Euclid,Thomas Edison,0.4594
Aryabhata,counterfact, astronomy, mathematics,0.4717
Toyota Allion,counterfact, Toyota, Honda,0.3783
 Solna Municipality,counterfact, Swedish, Finnish,0.423
Apollo,popqa,Leto,"Katharine Russell, Viscountess Amberley",0.2541
Xuanzang,counterfact, Buddhism, Islam,0.3289
Movable,sciq,synovial fluid,interstitial fluid,0.3345
The,sciq,pioneer species,novel species,0.4707
Anaikudam,popqa,India,South Korea,0.3822
 Roger Nimier,counterfact, French, Russian,0.3029
A,sciq,gas,plasma,0.1551
Skanderbeg,counterfact, Christianity, Islam,0.3289
Pierre Cardin,counterfact, France, Israel,0.2942
The,sciq,oxygen,hemoglobin,0.2917
 Jean-Louis Bourlanges,counterfact, French, English,0.3211
When,sciq,carbon dioxide,liquid dioxide,0.2681
Riyu Kosaka,counterfact, Japan, Ireland,0.254
 Tang Empire,counterfact, Buddhism, Judaism,0.2924
 Eurocreme,counterfact, London, Boston,0.4705
Nitrogen,synthetic,N,As,0.31
Afghanistan,synthetic,Kabul,Banjul,0.4572
Is,sciq,dwarf planet,binary planet,0.1095
Les Miserables,synthetic,Victor Hugo,A.A. Milne,0.455
Zachary Taylor,counterfact, English, French,0.2216
 United Nations,counterfact, French, Finnish,0.3874
Berwick Glacier,counterfact, Antarctica, Africa,0.2605
Ballydehob,counterfact, Ireland, Russia,0.3362
All,sciq,alpha decay,beta decay,0.1557
 Laitila,counterfact, Finnish, Spanish,0.3459
Suzuki Cappuccino,counterfact, Suzuki, Toyota,0.4016
As,sciq,density,weight,0.1578
 Isaac Barrow,counterfact, mathematics, medicine,0.4396
Spiral,sciq,spiral galaxies,pinwheel galaxies,0.1736
The,sciq,arteries,veins,0.2779
the,sciq,quasars,pulsars,0.3327
Integrated circuit,synthetic,Jack Kilby,Frank Whittle,0.4098
Alexeni River,popqa,Romania,Yemen,0.2934
Franciszek Smuglewicz,counterfact, Warsaw, Berlin,0.3486
Kenya,synthetic,Nairobi,Belgrade,0.4195
IBM 407,counterfact, IBM, Intel,0.4409
Fruit,sciq,fruit,grass,0.2561
Science Fact,sciq,precipitation,sediment,0.4422
The,sciq,alveoli,bronchi,0.3179
Protists,sciq,protists,bacteria,0.2262
 Dominique Cabrera,counterfact, French, Dutch,0.3719
Jorge Juan y Santacilia,counterfact, Spanish, Hebrew,0.4674
Louis-Paul Aujoulat,counterfact, French, Dutch,0.3466
Gyroscopes,sciq,gyroscopes,actuators,0.2129
Panaitoliko,popqa,Greece,Lithuania,0.4261
Carbon,sciq,carbon dioxide,oxygen,0.282
Kang Ji-hwan,counterfact, Seoul, Bangkok,0.371
Mark Messier,counterfact, hockey, soccer,0.4031
 Munich air disaster,counterfact, Munich, Scotland,0.4792
Malaysia,synthetic,Kuala Lumpur,Apia,0.3444
Laos,counterfact, Asia, Antarctica,0.3822
Water,sciq,the poles,the tropics,0.2747
Scientists,sciq,scientific method,inquisitive method,0.279
Jules Massenet,counterfact, opera, jazz,0.4772
Saint-Sébastien,popqa,Canada,Guinea,0.396
Lisa Ekdahl,counterfact, Swedish, French,0.4443
The,sciq,elementary charge,basic charge,0.4445
 Umar ibn Al-Khattāb,counterfact, Islam, Judaism,0.2299
